"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Total","Nationality: Dutch","A-U All economic activities","2015","7,302","5,409","22.29","2,409","2,378","33,190","28,900","4,290","400","28.6","28.2","1,280","1,728"
"Total","Total","Nationality: Dutch","A-U All economic activities","2016","7,379","5,487","22.38","2,441","2,411","33,740","29,290","4,450","400","28.7","28.4","1,293","1,739"
"Total","Total","Nationality: Dutch","A-U All economic activities","2017","7,524","5,582","22.53","2,467","2,437","34,140","29,610","4,530","420","28.7","28.4","1,298","1,750"
"Total","Total","Nationality: Dutch","A-U All economic activities","2018","7,664","5,699","23.03","2,517","2,487","34,760","30,210","4,550","440","28.8","28.5","1,296","1,743"
"Total","Total","Nationality: Dutch","A-U All economic activities","2019","7,774","5,788","23.52","2,585","2,556","35,700","31,020","4,680","470","28.8","28.5","1,304","1,751"
"Total","Total","Nationality: Dutch","A-U All economic activities","2020","7,670","5,760","24.44","2,699","2,673","37,310","32,390","4,920","490","29.1","28.8","1,313","1,748"
"Total","Total","Nationality: Dutch","A-U All economic activities","2021","7,801","5,872","24.82","2,764","2,736","38,330","33,170","5,160","500","29.1","28.8","1,323","1,758"
"Total","Total","Nationality: Dutch","A-U All economic activities","2022","7,995","5,994","25.74","2,855","2,829","39,890","34,260","5,630","520","29.0","28.7","1,319","1,759"
"Total","Total","Nationality: Dutch","A-U All economic activities","2023","8,033","6,033","27.60","3,047","3,021","42,330","36,570","5,760","560","29.0","28.8","1,313","1,749"
"Total","Total","Nationality: Dutch","A-U All economic activities","2024","8,056","6,051","29.46","3,252","3,225","45,170","39,030","6,150","620","29.0","28.8","1,314","1,749"
"Total","Total","Nationality: Dutch","A-U All economic activities","2025*","8,128","6,101","31.09","3,409","3,382","47,340","40,910","6,430","660","29.0","28.8","1,305","1,739"
