"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2014","85","52","11.75","1,102","1,030","14,480","13,230","1,260","10","24.4","23.0","1,051","1,735"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2015","98","60","11.92","1,145","1,069","14,950","13,740","1,210","10","25.0","23.6","1,076","1,748"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2016","101","61","11.99","1,136","1,059","14,990","13,640","1,350","20","24.6","23.2","1,060","1,737"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2017","117","72","12.02","1,169","1,088","15,420","14,030","1,390","20","25.2","23.7","1,086","1,759"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2018","126","78","12.65","1,208","1,128","15,980","14,490","1,490","20","24.9","23.6","1,070","1,735"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2019","137","84","13.05","1,246","1,167","16,490","14,950","1,550","20","24.8","23.5","1,074","1,747"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2020","132","82","13.54","1,309","1,232","17,340","15,710","1,630","20","25.2","24.0","1,092","1,751"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2021","137","87","13.86","1,358","1,277","17,980","16,300","1,680","20","25.4","24.1","1,106","1,754"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2022","153","96","14.60","1,422","1,340","18,810","17,060","1,750","20","25.2","24.1","1,101","1,752"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2023","153","97","16.14","1,579","1,494","20,810","18,940","1,870","30","25.5","24.4","1,111","1,748"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2024","154","97","17.86","1,724","1,638","22,710","20,690","2,020","30","25.1","24.1","1,101","1,747"
"Total","Type of employment contract: part-time","Nationality: other EU countries","A-U All economic activities","2025*","161","101","19.15","1,836","1,737","24,280","22,030","2,250","40","25.0","24.0","1,089","1,738"
"Source: CBS."
